id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
77314,defe41cc,2023/02/21 12:15:03,1,cb581061bletest0,,-63.57142857142857,1,,1676952908000
77356,defe41cc,2023/02/21 12:15:29,1,cb581061bletest0,,-69.28571428571429,2,,1676952934000
77410,defe41cc,2023/02/21 12:15:38,1,cb581061bletest0,,-65.33333333333333,2,,1676952947000
77413,defe41cc,2023/02/21 12:15:42,1,cb581061bletest0,,-66.16666666666667,2,,1676952947000
77588,defe41cc,2023/02/21 12:16:35,1,cb581061bletest0,,-64.0,1,,1676952999000
77632,defe41cc,2023/02/21 12:16:44,1,cb581061bletest0,,-56.25,1,,1676953013000
77630,defe41cc,2023/02/21 12:16:48,1,cb581061bletest0,,-51.333333333333336,1,,1676953013000
77705,defe41cc,2023/02/21 12:17:10,1,cb581061bletest0,,-77.33333333333333,3,,1676953039000
77714,defe41cc,2023/02/21 12:17:14,1,cb581061bletest0,,-86.625,5,,1676953039000
77752,defe41cc,2023/02/21 12:17:23,1,cb581061bletest0,,-67.5,2,,1676953052000
77754,defe41cc,2023/02/21 12:17:41,1,cb581061bletest0,,-78.66666666666667,3,,1676953065000
77823,defe41cc,2023/02/21 12:17:50,1,cb581061bletest0,,-74.0,2,,1676953078000
77818,defe41cc,2023/02/21 12:17:54,1,cb581061bletest0,,-69.66666666666667,2,,1676953078000
77991,defe41cc,2023/02/21 12:18:20,1,cb581061bletest0,,-70.33333333333333,2,,1676953105000
78086,defe41cc,2023/02/21 12:18:29,1,cb581061bletest0,,-73.2,2,,1676953118000
78117,defe41cc,2023/02/21 12:18:55,1,cb581061bletest0,,-71.9,2,,1676953144000
78114,defe41cc,2023/02/21 12:18:59,1,cb581061bletest0,,-78.0,3,,1676953144000
78230,defe41cc,2023/02/21 12:19:22,1,cb581061bletest0,,-76.0,3,,1676953170000
78319,defe41cc,2023/02/21 12:19:35,1,cb581061bletest0,,-90.0,5,,1676953183000
78433,defe41cc,2023/02/21 12:19:52,1,cb581061bletest0,,-84.0,3,,1676953197000
78521,defe41cc,2023/02/21 12:20:01,1,cb581061bletest0,,-78.5,3,,1676953210000
78545,defe41cc,2023/02/21 12:20:27,1,cb581061bletest0,,-81.33333333333333,3,,1676953236000
78551,defe41cc,2023/02/21 12:20:28,1,cb581061bletest0,,-84.0,3,,1676953236000
78587,defe41cc,2023/02/21 12:20:40,1,cb581061bletest0,,-83.5,3,,1676953249000
78589,defe41cc,2023/02/21 12:20:41,1,cb581061bletest0,,-85.0,5,,1676953249000
78755,defe41cc,2023/02/21 12:21:11,1,cb581061bletest0,,-87.0,5,,1676953275000
78945,defe41cc,2023/02/21 12:21:37,1,cb581061bletest0,,-88.8,5,,1676953302000
78981,defe41cc,2023/02/21 12:22:03,1,cb581061bletest0,,-85.0,5,,1676953328000
78987,defe41cc,2023/02/21 12:22:04,1,cb581061bletest0,,-89.66666666666667,5,,1676953328000
79006,defe41cc,2023/02/21 12:22:12,1,cb581061bletest0,,-84.5,3,,1676953341000
79011,defe41cc,2023/02/21 12:22:13,1,cb581061bletest0,,-84.0,3,,1676953341000
79001,defe41cc,2023/02/21 12:22:16,1,cb581061bletest0,,-76.33333333333333,3,,1676953341000
79008,defe41cc,2023/02/21 12:22:17,1,cb581061bletest0,,-75.16666666666667,2,,1676953341000
79117,defe41cc,2023/02/21 12:22:39,1,cb581061bletest0,,-82.0,3,,1676953367000
79228,defe41cc,2023/02/21 12:22:52,1,cb581061bletest0,,-85.16666666666667,5,,1676953381000
79231,defe41cc,2023/02/21 12:23:09,1,cb581061bletest0,,-76.8,3,,1676953394000
79391,defe41cc,2023/02/21 12:23:18,1,cb581061bletest0,,-77.18181818181819,3,,1676953407000
79531,defe41cc,2023/02/21 12:23:45,1,cb581061bletest0,,-82.0,3,,1676953433000
79525,defe41cc,2023/02/21 12:23:49,1,cb581061bletest0,,-83.0,3,,1676953433000
79564,defe41cc,2023/02/21 12:23:58,1,cb581061bletest0,,-79.0,3,,1676953446000
79626,defe41cc,2023/02/21 12:24:15,1,cb581061bletest0,,-81.0,3,,1676953459000
79643,defe41cc,2023/02/21 12:24:24,1,cb581061bletest0,,-72.3,2,,1676953473000
79641,defe41cc,2023/02/21 12:24:28,1,cb581061bletest0,,-85.66666666666667,5,,1676953473000
79778,defe41cc,2023/02/21 12:24:50,1,cb581061bletest0,,-77.25,3,,1676953499000
79790,defe41cc,2023/02/21 12:24:51,1,cb581061bletest0,,-79.33333333333333,3,,1676953499000
79780,defe41cc,2023/02/21 12:24:55,1,cb581061bletest0,,-79.0,3,,1676953499000
