id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
109963,7.5909e+93,2023/03/24 10:25:38,1,dc32f1d2bletest0,,-68.0,2,,1679624823000
109967,7.5909e+93,2023/03/24 10:25:39,1,dc32f1d2bletest0,,-68.33333333333333,2,,1679624823000
109971,7.5909e+93,2023/03/24 10:25:40,1,dc32f1d2bletest0,,-72.2,2,,1679624823000
109975,7.5909e+93,2023/03/24 10:25:41,1,dc32f1d2bletest0,,-76.4,3,,1679624823000
109979,7.5909e+93,2023/03/24 10:25:42,1,dc32f1d2bletest0,,-67.5,2,,1679624823000
109983,7.5909e+93,2023/03/24 10:25:43,1,dc32f1d2bletest0,,-67.66666666666667,2,,1679624823000
109987,7.5909e+93,2023/03/24 10:25:44,1,dc32f1d2bletest0,,-69.75,2,,1679624823000
109988,7.5909e+93,2023/03/24 10:25:45,1,dc32f1d2bletest0,,-73.14285714285714,2,,1679624823000
109992,7.5909e+93,2023/03/24 10:25:46,1,dc32f1d2bletest0,,-76.25,3,,1679624823000
109996,7.5909e+93,2023/03/24 10:25:47,1,dc32f1d2bletest0,,-71.0,2,,1679624823000
110000,7.5909e+93,2023/03/24 10:25:48,1,dc32f1d2bletest0,,-69.0,2,,1679624823000
109962,7.5909e+93,2023/03/24 10:26:22,1,dc32f1d2bletest0,,-72.5,2,,1679624823000
109973,7.5909e+93,2023/03/24 10:26:23,1,dc32f1d2bletest0,,-73.0,2,,1679624823000
109980,7.5909e+93,2023/03/24 10:26:24,1,dc32f1d2bletest0,,-71.33333333333333,2,,1679624823000
109994,7.5909e+93,2023/03/24 10:26:25,1,dc32f1d2bletest0,,-72.14285714285714,2,,1679624823000
110008,7.5909e+93,2023/03/24 10:26:26,1,dc32f1d2bletest0,,-71.0,2,,1679624823000
110010,7.5909e+93,2023/03/24 10:26:27,1,dc32f1d2bletest0,,-69.57142857142857,2,,1679624823000
110017,7.5909e+93,2023/03/24 10:26:28,1,dc32f1d2bletest0,,-69.0,2,,1679624823000
110020,7.5909e+93,2023/03/24 10:26:29,1,dc32f1d2bletest0,,-73.75,2,,1679624823000
110022,7.5909e+93,2023/03/24 10:26:30,1,dc32f1d2bletest0,,-71.33333333333333,2,,1679624823000
110024,7.5909e+93,2023/03/24 10:26:31,1,dc32f1d2bletest0,,-75.4,2,,1679624823000
110026,7.5909e+93,2023/03/24 10:26:32,1,dc32f1d2bletest0,,-75.75,2,,1679624823000
110028,7.5909e+93,2023/03/24 10:26:33,1,dc32f1d2bletest0,,-75.16666666666667,2,,1679624823000
110030,7.5909e+93,2023/03/24 10:26:34,1,dc32f1d2bletest0,,-74.0,2,,1679624823000
110031,7.5909e+93,2023/03/24 10:26:35,1,dc32f1d2bletest0,,-74.0,2,,1679624823000
110032,7.5909e+93,2023/03/24 10:26:36,1,dc32f1d2bletest0,,-71.33333333333333,2,,1679624823000
110186,7.5909e+93,2023/03/24 10:27:07,1,dc32f1d2bletest0,,-76.0,3,,1679624910000
110194,7.5909e+93,2023/03/24 10:27:08,1,dc32f1d2bletest0,,-85.0,5,,1679624910000
110207,7.5909e+93,2023/03/24 10:27:09,1,dc32f1d2bletest0,,-73.4,2,,1679624910000
110211,7.5909e+93,2023/03/24 10:27:10,1,dc32f1d2bletest0,,-74.28571428571429,2,,1679624910000
110223,7.5909e+93,2023/03/24 10:27:11,1,dc32f1d2bletest0,,-76.5,3,,1679624910000
110231,7.5909e+93,2023/03/24 10:27:12,1,dc32f1d2bletest0,,-80.5,3,,1679624910000
110235,7.5909e+93,2023/03/24 10:27:13,1,dc32f1d2bletest0,,-79.33333333333333,3,,1679624910000
110240,7.5909e+93,2023/03/24 10:27:14,1,dc32f1d2bletest0,,-80.5,3,,1679624910000
110243,7.5909e+93,2023/03/24 10:27:15,1,dc32f1d2bletest0,,-80.0,3,,1679624910000
110248,7.5909e+93,2023/03/24 10:27:16,1,dc32f1d2bletest0,,-82.4,3,,1679624910000
110251,7.5909e+93,2023/03/24 10:27:17,1,dc32f1d2bletest0,,-79.0,3,,1679624910000
110253,7.5909e+93,2023/03/24 10:27:18,1,dc32f1d2bletest0,,-73.0,2,,1679624910000
110256,7.5909e+93,2023/03/24 10:27:19,1,dc32f1d2bletest0,,-74.33333333333333,2,,1679624910000
110259,7.5909e+93,2023/03/24 10:27:20,1,dc32f1d2bletest0,,-70.0,2,,1679624910000
110262,7.5909e+93,2023/03/24 10:27:21,1,dc32f1d2bletest0,,-71.66666666666667,2,,1679624910000
110187,7.5909e+93,2023/03/24 10:27:51,1,dc32f1d2bletest0,,-78.0,3,,1679624910000
110191,7.5909e+93,2023/03/24 10:27:52,1,dc32f1d2bletest0,,-80.0,3,,1679624910000
110203,7.5909e+93,2023/03/24 10:27:53,1,dc32f1d2bletest0,,-86.33333333333333,5,,1679624910000
110218,7.5909e+93,2023/03/24 10:27:54,1,dc32f1d2bletest0,,-77.0,3,,1679624910000
110230,7.5909e+93,2023/03/24 10:27:55,1,dc32f1d2bletest0,,-89.0,5,,1679624910000
110236,7.5909e+93,2023/03/24 10:27:56,1,dc32f1d2bletest0,,-71.25,2,,1679624910000
110244,7.5909e+93,2023/03/24 10:27:57,1,dc32f1d2bletest0,,-76.0,3,,1679624910000
110247,7.5909e+93,2023/03/24 10:27:58,1,dc32f1d2bletest0,,-73.4,2,,1679624910000
110254,7.5909e+93,2023/03/24 10:27:59,1,dc32f1d2bletest0,,-71.2,2,,1679624910000
110260,7.5909e+93,2023/03/24 10:28:00,1,dc32f1d2bletest0,,-76.0,3,,1679624910000
110265,7.5909e+93,2023/03/24 10:28:01,1,dc32f1d2bletest0,,-79.5,3,,1679624910000
110479,7.5909e+93,2023/03/24 10:28:35,1,dc32f1d2bletest0,,-79.5,3,,1679625002000
110487,7.5909e+93,2023/03/24 10:28:36,1,dc32f1d2bletest0,,-77.0,3,,1679625002000
110495,7.5909e+93,2023/03/24 10:28:37,1,dc32f1d2bletest0,,-70.0,2,,1679625002000
110499,7.5909e+93,2023/03/24 10:28:38,1,dc32f1d2bletest0,,-69.0,2,,1679625002000
110503,7.5909e+93,2023/03/24 10:28:39,1,dc32f1d2bletest0,,-82.0,3,,1679625002000
110507,7.5909e+93,2023/03/24 10:28:40,1,dc32f1d2bletest0,,-66.0,2,,1679625002000
110515,7.5909e+93,2023/03/24 10:28:41,1,dc32f1d2bletest0,,-70.5,2,,1679625002000
110519,7.5909e+93,2023/03/24 10:28:42,1,dc32f1d2bletest0,,-71.0,2,,1679625002000
110523,7.5909e+93,2023/03/24 10:28:43,1,dc32f1d2bletest0,,-68.66666666666667,2,,1679625002000
110526,7.5909e+93,2023/03/24 10:28:45,1,dc32f1d2bletest0,,-73.33333333333333,2,,1679625002000
110529,7.5909e+93,2023/03/24 10:28:46,1,dc32f1d2bletest0,,-66.0,2,,1679625002000
110532,7.5909e+93,2023/03/24 10:28:47,1,dc32f1d2bletest0,,-80.8,3,,1679625002000
110535,7.5909e+93,2023/03/24 10:28:48,1,dc32f1d2bletest0,,-71.5,2,,1679625002000
110538,7.5909e+93,2023/03/24 10:28:49,1,dc32f1d2bletest0,,-80.0,3,,1679625002000
