id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
103880,0926bde8,2023/03/24 09:40:03,1,fedc20debletest0,null,-77,3,,1679622045000
103883,0926bde8,2023/03/24 09:40:04,1,fedc20debletest0,null,-87.5,5,,1679622045000
103896,0926bde8,2023/03/24 09:40:06,1,fedc20debletest0,null,-95,5,,1679622045000
103902,0926bde8,2023/03/24 09:40:07,1,fedc20debletest0,null,-80,3,,1679622045000
103911,0926bde8,2023/03/24 09:40:09,1,fedc20debletest0,null,-80,3,,1679622045000
103923,0926bde8,2023/03/24 09:40:10,1,fedc20debletest0,null,-76,3,,1679622045000
103929,0926bde8,2023/03/24 09:40:11,1,fedc20debletest0,null,-71,2,,1679622045000
103935,0926bde8,2023/03/24 09:40:13,1,fedc20debletest0,null,-78.66666666666667,3,,1679622045000
104181,0926bde8,2023/03/24 09:41:30,1,fedc20debletest0,null,-79.25,3,,1679622137000
104182,0926bde8,2023/03/24 09:40:49,1,fedc20debletest0,null,-81.8,3,,1679622137000
104184,0926bde8,2023/03/24 09:41:31,1,fedc20debletest0,null,-85,5,,1679622137000
104186,0926bde8,2023/03/24 09:41:32,1,fedc20debletest0,null,-80.6,3,,1679622137000
104189,0926bde8,2023/03/24 09:41:33,1,fedc20debletest0,null,-81.5,3,,1679622137000
104191,0926bde8,2023/03/24 09:40:50,1,fedc20debletest0,null,-82.0909090909091,3,,1679622137000
104195,0926bde8,2023/03/24 09:41:34,1,fedc20debletest0,null,-82.75,3,,1679622137000
104201,0926bde8,2023/03/24 09:40:51,1,fedc20debletest0,null,-79,3,,1679622137000
104203,0926bde8,2023/03/24 09:41:35,1,fedc20debletest0,null,-87.16666666666667,5,,1679622137000
104211,0926bde8,2023/03/24 09:41:36,1,fedc20debletest0,null,-82.8,3,,1679622137000
104219,0926bde8,2023/03/24 09:41:37,1,fedc20debletest0,null,-81,3,,1679622137000
104221,0926bde8,2023/03/24 09:40:52,1,fedc20debletest0,null,-80.83333333333333,3,,1679622137000
104225,0926bde8,2023/03/24 09:40:53,1,fedc20debletest0,null,-79.5,3,,1679622137000
104226,0926bde8,2023/03/24 09:41:38,1,fedc20debletest0,null,-81.71428571428571,3,,1679622137000
104233,0926bde8,2023/03/24 09:40:54,1,fedc20debletest0,null,-81.5,3,,1679622137000
104234,0926bde8,2023/03/24 09:41:39,1,fedc20debletest0,null,-80,3,,1679622137000
104237,0926bde8,2023/03/24 09:41:40,1,fedc20debletest0,null,-84.8,3,,1679622137000
104245,0926bde8,2023/03/24 09:41:41,1,fedc20debletest0,null,-76.33333333333333,3,,1679622137000
104247,0926bde8,2023/03/24 09:40:55,1,fedc20debletest0,null,-82,3,,1679622137000
104249,0926bde8,2023/03/24 09:41:42,1,fedc20debletest0,null,-81.4,3,,1679622137000
104254,0926bde8,2023/03/24 09:40:57,1,fedc20debletest0,null,-79.5,3,,1679622137000
104257,0926bde8,2023/03/24 09:40:58,1,fedc20debletest0,null,-82,3,,1679622137000
104259,0926bde8,2023/03/24 09:41:43,1,fedc20debletest0,null,-75.75,2,,1679622137000
104260,0926bde8,2023/03/24 09:40:59,1,fedc20debletest0,null,-86,5,,1679622137000
104262,0926bde8,2023/03/24 09:41:44,1,fedc20debletest0,null,-85,5,,1679622137000
104263,0926bde8,2023/03/24 09:41:00,1,fedc20debletest0,null,-82.66666666666667,3,,1679622137000
104266,0926bde8,2023/03/24 09:41:01,1,fedc20debletest0,null,-86.5,5,,1679622137000
104268,0926bde8,2023/03/24 09:41:45,1,fedc20debletest0,null,-84,3,,1679622137000
104270,0926bde8,2023/03/24 09:41:46,1,fedc20debletest0,null,-83,3,,1679622137000
104272,0926bde8,2023/03/24 09:41:47,1,fedc20debletest0,null,-81,3,,1679622137000
104274,0926bde8,2023/03/24 09:41:48,1,fedc20debletest0,null,-84.5,3,,1679622137000
104501,0926bde8,2023/03/24 09:42:21,1,fedc20debletest0,null,-85,5,,1679622235000
104502,0926bde8,2023/03/24 09:43:04,1,fedc20debletest0,null,-72.66666666666667,2,,1679622235000
104505,0926bde8,2023/03/24 09:42:22,1,fedc20debletest0,null,-94,5,,1679622235000
104506,0926bde8,2023/03/24 09:43:05,1,fedc20debletest0,null,-80.88888888888889,3,,1679622235000
104509,0926bde8,2023/03/24 09:42:23,1,fedc20debletest0,null,-85,5,,1679622235000
104510,0926bde8,2023/03/24 09:43:06,1,fedc20debletest0,null,-70.16666666666667,2,,1679622235000
104513,0926bde8,2023/03/24 09:42:24,1,fedc20debletest0,null,-83.5,3,,1679622235000
104517,0926bde8,2023/03/24 09:42:25,1,fedc20debletest0,null,-85.14285714285714,5,,1679622235000
104518,0926bde8,2023/03/24 09:43:07,1,fedc20debletest0,null,-69.6,2,,1679622235000
104521,0926bde8,2023/03/24 09:42:26,1,fedc20debletest0,null,-83,3,,1679622235000
104525,0926bde8,2023/03/24 09:42:27,1,fedc20debletest0,null,-84.75,3,,1679622235000
104526,0926bde8,2023/03/24 09:43:08,1,fedc20debletest0,null,-68.6,2,,1679622235000
104529,0926bde8,2023/03/24 09:42:28,1,fedc20debletest0,null,-77.66666666666667,3,,1679622235000
104530,0926bde8,2023/03/24 09:43:09,1,fedc20debletest0,null,-68.125,2,,1679622235000
104536,0926bde8,2023/03/24 09:42:29,1,fedc20debletest0,null,-81.33333333333333,3,,1679622235000
104537,0926bde8,2023/03/24 09:43:10,1,fedc20debletest0,null,-74,2,,1679622235000
104544,0926bde8,2023/03/24 09:42:30,1,fedc20debletest0,null,-85.66666666666667,5,,1679622235000
104546,0926bde8,2023/03/24 09:43:11,1,fedc20debletest0,null,-76,3,,1679622235000
104550,0926bde8,2023/03/24 09:43:12,1,fedc20debletest0,null,-74.33333333333333,2,,1679622235000
104551,0926bde8,2023/03/24 09:42:31,1,fedc20debletest0,null,-84,3,,1679622235000
104558,0926bde8,2023/03/24 09:42:32,1,fedc20debletest0,null,-88.83333333333333,5,,1679622235000
104559,0926bde8,2023/03/24 09:43:13,1,fedc20debletest0,null,-74.14285714285714,2,,1679622235000
104565,0926bde8,2023/03/24 09:42:33,1,fedc20debletest0,null,-79.83333333333333,3,,1679622235000
104567,0926bde8,2023/03/24 09:43:14,1,fedc20debletest0,null,-75.57142857142857,2,,1679622235000
104573,0926bde8,2023/03/24 09:42:34,1,fedc20debletest0,null,-80.83333333333333,3,,1679622235000
104575,0926bde8,2023/03/24 09:43:15,1,fedc20debletest0,null,-73.4,2,,1679622235000
104582,0926bde8,2023/03/24 09:43:16,1,fedc20debletest0,null,-78.66666666666667,3,,1679622235000
104583,0926bde8,2023/03/24 09:42:35,1,fedc20debletest0,null,-78.66666666666667,3,,1679622235000
104584,0926bde8,2023/03/24 09:43:17,1,fedc20debletest0,null,-77.4,3,,1679622235000
104585,0926bde8,2023/03/24 09:42:36,1,fedc20debletest0,null,-80.16666666666667,3,,1679622235000
104588,0926bde8,2023/03/24 09:43:18,1,fedc20debletest0,null,-73.25,2,,1679622235000
104589,0926bde8,2023/03/24 09:42:37,1,fedc20debletest0,null,-75,2,,1679622235000
104590,0926bde8,2023/03/24 09:43:19,1,fedc20debletest0,null,-73.42857142857143,2,,1679622235000
104592,0926bde8,2023/03/24 09:43:20,1,fedc20debletest0,null,-73.5,2,,1679622235000
104798,0926bde8,2023/03/24 09:44:38,1,fedc20debletest0,null,-79,3,,1679622322000
104799,0926bde8,2023/03/24 09:43:59,1,fedc20debletest0,null,-71,2,,1679622322000
104801,0926bde8,2023/03/24 09:44:39,1,fedc20debletest0,null,-73,2,,1679622322000
104802,0926bde8,2023/03/24 09:44:40,1,fedc20debletest0,null,-69.75,2,,1679622322000
104803,0926bde8,2023/03/24 09:44:00,1,fedc20debletest0,null,-77.33333333333333,3,,1679622322000
104805,0926bde8,2023/03/24 09:44:41,1,fedc20debletest0,null,-71.75,2,,1679622322000
104808,0926bde8,2023/03/24 09:44:42,1,fedc20debletest0,null,-72.25,2,,1679622322000
104809,0926bde8,2023/03/24 09:44:01,1,fedc20debletest0,null,-75,2,,1679622322000
104812,0926bde8,2023/03/24 09:44:43,1,fedc20debletest0,null,-74,2,,1679622322000
104813,0926bde8,2023/03/24 09:44:02,1,fedc20debletest0,null,-77.75,3,,1679622322000
104815,0926bde8,2023/03/24 09:44:44,1,fedc20debletest0,null,-66.81818181818181,2,,1679622322000
104819,0926bde8,2023/03/24 09:44:45,1,fedc20debletest0,null,-68,2,,1679622322000
104821,0926bde8,2023/03/24 09:44:03,1,fedc20debletest0,null,-82,3,,1679622322000
104823,0926bde8,2023/03/24 09:44:46,1,fedc20debletest0,null,-74,2,,1679622322000
104827,0926bde8,2023/03/24 09:44:47,1,fedc20debletest0,null,-67.2,2,,1679622322000
104828,0926bde8,2023/03/24 09:44:04,1,fedc20debletest0,null,-75.66666666666667,2,,1679622322000
104831,0926bde8,2023/03/24 09:44:48,1,fedc20debletest0,null,-67.66666666666667,2,,1679622322000
104839,0926bde8,2023/03/24 09:44:49,1,fedc20debletest0,null,-71.6,2,,1679622322000
104840,0926bde8,2023/03/24 09:44:05,1,fedc20debletest0,null,-78.6,3,,1679622322000
104843,0926bde8,2023/03/24 09:44:50,1,fedc20debletest0,null,-74.66666666666667,2,,1679622322000
104844,0926bde8,2023/03/24 09:44:06,1,fedc20debletest0,null,-74.83333333333333,2,,1679622322000
104851,0926bde8,2023/03/24 09:44:51,1,fedc20debletest0,null,-81.33333333333333,3,,1679622322000
104852,0926bde8,2023/03/24 09:44:07,1,fedc20debletest0,null,-76.85714285714286,3,,1679622322000
104855,0926bde8,2023/03/24 09:44:08,1,fedc20debletest0,null,-82,3,,1679622322000
104856,0926bde8,2023/03/24 09:44:52,1,fedc20debletest0,null,-73.27272727272727,2,,1679622322000
104859,0926bde8,2023/03/24 09:44:09,1,fedc20debletest0,null,-72,2,,1679622322000
104862,0926bde8,2023/03/24 09:44:10,1,fedc20debletest0,null,-62.125,1,,1679622322000
104866,0926bde8,2023/03/24 09:44:11,1,fedc20debletest0,null,-71.55555555555556,2,,1679622322000
104867,0926bde8,2023/03/24 09:44:53,1,fedc20debletest0,null,-71,2,,1679622322000
104874,0926bde8,2023/03/24 09:44:12,1,fedc20debletest0,null,-75.75,2,,1679622322000
104879,0926bde8,2023/03/24 09:44:54,1,fedc20debletest0,null,-74.57142857142857,2,,1679622322000
104881,0926bde8,2023/03/24 09:44:13,1,fedc20debletest0,null,-87.2,5,,1679622322000
104886,0926bde8,2023/03/24 09:44:55,1,fedc20debletest0,null,-75.2,2,,1679622322000
104890,0926bde8,2023/03/24 09:44:56,1,fedc20debletest0,null,-75.88888888888889,2,,1679622322000
104893,0926bde8,2023/03/24 09:44:57,1,fedc20debletest0,null,-75.5,2,,1679622322000
105086,0926bde8,2023/03/24 09:46:14,1,fedc20debletest0,null,-80,3,,1679622428000
105089,0926bde8,2023/03/24 09:46:15,1,fedc20debletest0,null,-70.6,2,,1679622428000
105090,0926bde8,2023/03/24 09:45:26,1,fedc20debletest0,null,-89,5,,1679622428000
105093,0926bde8,2023/03/24 09:46:16,1,fedc20debletest0,null,-76.6,3,,1679622428000
105094,0926bde8,2023/03/24 09:45:27,1,fedc20debletest0,null,-71,2,,1679622428000
105097,0926bde8,2023/03/24 09:46:17,1,fedc20debletest0,null,-67.5,2,,1679622428000
105098,0926bde8,2023/03/24 09:45:28,1,fedc20debletest0,null,-71.57142857142857,2,,1679622428000
105102,0926bde8,2023/03/24 09:45:29,1,fedc20debletest0,null,-73,2,,1679622428000
105105,0926bde8,2023/03/24 09:46:18,1,fedc20debletest0,null,-73.84615384615384,2,,1679622428000
105106,0926bde8,2023/03/24 09:45:30,1,fedc20debletest0,null,-67.2,2,,1679622428000
105110,0926bde8,2023/03/24 09:46:19,1,fedc20debletest0,null,-72.1,2,,1679622428000
105113,0926bde8,2023/03/24 09:45:31,1,fedc20debletest0,null,-73,2,,1679622428000
105119,0926bde8,2023/03/24 09:46:20,1,fedc20debletest0,null,-65.22222222222223,2,,1679622428000
105120,0926bde8,2023/03/24 09:45:32,1,fedc20debletest0,null,-80,3,,1679622428000
105123,0926bde8,2023/03/24 09:46:21,1,fedc20debletest0,null,-62.23076923076923,1,,1679622428000
105125,0926bde8,2023/03/24 09:45:33,1,fedc20debletest0,null,-74,2,,1679622428000
105131,0926bde8,2023/03/24 09:46:22,1,fedc20debletest0,null,-69.5,2,,1679622428000
105137,0926bde8,2023/03/24 09:45:34,1,fedc20debletest0,null,-73.25,2,,1679622428000
105139,0926bde8,2023/03/24 09:46:23,1,fedc20debletest0,null,-63.53333333333333,1,,1679622428000
105141,0926bde8,2023/03/24 09:45:35,1,fedc20debletest0,null,-75.875,2,,1679622428000
105147,0926bde8,2023/03/24 09:46:24,1,fedc20debletest0,null,-66.5,2,,1679622428000
105149,0926bde8,2023/03/24 09:45:36,1,fedc20debletest0,null,-80.9,3,,1679622428000
105151,0926bde8,2023/03/24 09:46:25,1,fedc20debletest0,null,-65.5,2,,1679622428000
105157,0926bde8,2023/03/24 09:45:37,1,fedc20debletest0,null,-81.5,3,,1679622428000
105159,0926bde8,2023/03/24 09:46:26,1,fedc20debletest0,null,-68.75,2,,1679622428000
105161,0926bde8,2023/03/24 09:45:38,1,fedc20debletest0,null,-71.3,2,,1679622428000
105163,0926bde8,2023/03/24 09:46:27,1,fedc20debletest0,null,-65.33333333333333,2,,1679622428000
105171,0926bde8,2023/03/24 09:46:28,1,fedc20debletest0,null,-66.72727272727273,2,,1679622428000
105174,0926bde8,2023/03/24 09:46:29,1,fedc20debletest0,null,-65.2,2,,1679622428000
105177,0926bde8,2023/03/24 09:45:39,1,fedc20debletest0,null,-70.75,2,,1679622428000
105178,0926bde8,2023/03/24 09:46:30,1,fedc20debletest0,null,-63.5,1,,1679622428000
105184,0926bde8,2023/03/24 09:46:31,1,fedc20debletest0,null,-65,1,,1679622428000
105406,0926bde8,2023/03/24 09:47:13,1,fedc20debletest0,null,-78.18181818181819,3,,1679622528000
105408,0926bde8,2023/03/24 09:47:56,1,fedc20debletest0,null,-78,3,,1679622528000
105411,0926bde8,2023/03/24 09:47:14,1,fedc20debletest0,null,-81.22222222222223,3,,1679622528000
105412,0926bde8,2023/03/24 09:47:57,1,fedc20debletest0,null,-76,3,,1679622528000
105414,0926bde8,2023/03/24 09:47:58,1,fedc20debletest0,null,-78.3076923076923,3,,1679622528000
105415,0926bde8,2023/03/24 09:47:15,1,fedc20debletest0,null,-73.25,2,,1679622528000
105420,0926bde8,2023/03/24 09:47:16,1,fedc20debletest0,null,-72.53846153846153,2,,1679622528000
105422,0926bde8,2023/03/24 09:47:59,1,fedc20debletest0,null,-77.75,3,,1679622528000
105429,0926bde8,2023/03/24 09:47:17,1,fedc20debletest0,null,-75.83333333333333,2,,1679622528000
105432,0926bde8,2023/03/24 09:48:00,1,fedc20debletest0,null,-81,3,,1679622528000
105444,0926bde8,2023/03/24 09:48:01,1,fedc20debletest0,null,-71.125,2,,1679622528000
105446,0926bde8,2023/03/24 09:47:18,1,fedc20debletest0,null,-71.77777777777777,2,,1679622528000
105455,0926bde8,2023/03/24 09:47:19,1,fedc20debletest0,null,-71.75,2,,1679622528000
105457,0926bde8,2023/03/24 09:48:02,1,fedc20debletest0,null,-65.36363636363636,2,,1679622528000
105465,0926bde8,2023/03/24 09:48:03,1,fedc20debletest0,null,-63.375,1,,1679622528000
105467,0926bde8,2023/03/24 09:47:20,1,fedc20debletest0,null,-72,2,,1679622528000
105475,0926bde8,2023/03/24 09:47:21,1,fedc20debletest0,null,-67,2,,1679622528000
105478,0926bde8,2023/03/24 09:48:04,1,fedc20debletest0,null,-64.66666666666667,1,,1679622528000
105483,0926bde8,2023/03/24 09:47:22,1,fedc20debletest0,null,-75.25,2,,1679622528000
105490,0926bde8,2023/03/24 09:48:05,1,fedc20debletest0,null,-67,2,,1679622528000
105491,0926bde8,2023/03/24 09:47:23,1,fedc20debletest0,null,-81.63636363636364,3,,1679622528000
105498,0926bde8,2023/03/24 09:47:24,1,fedc20debletest0,null,-82.58333333333333,3,,1679622528000
105499,0926bde8,2023/03/24 09:48:06,1,fedc20debletest0,null,-62.375,1,,1679622528000
105502,0926bde8,2023/03/24 09:47:25,1,fedc20debletest0,null,-80.54545454545455,3,,1679622528000
105503,0926bde8,2023/03/24 09:48:07,1,fedc20debletest0,null,-63.916666666666664,1,,1679622528000
105506,0926bde8,2023/03/24 09:47:26,1,fedc20debletest0,null,-80.0909090909091,3,,1679622528000
105508,0926bde8,2023/03/24 09:47:27,1,fedc20debletest0,null,-87.2,5,,1679622528000
105509,0926bde8,2023/03/24 09:48:08,1,fedc20debletest0,null,-61.90909090909091,1,,1679622528000
105511,0926bde8,2023/03/24 09:48:09,1,fedc20debletest0,null,-65.22222222222223,2,,1679622528000
105513,0926bde8,2023/03/24 09:48:10,1,fedc20debletest0,null,-70.27272727272727,2,,1679622528000
105678,0926bde8,2023/03/24 09:48:53,1,fedc20debletest0,null,-62.1,1,,1679622620000
105679,0926bde8,2023/03/24 09:49:37,1,fedc20debletest0,null,-78.5,3,,1679622620000
105681,0926bde8,2023/03/24 09:48:54,1,fedc20debletest0,null,-63,1,,1679622620000
105685,0926bde8,2023/03/24 09:48:55,1,fedc20debletest0,null,-62.36363636363637,1,,1679622620000
105687,0926bde8,2023/03/24 09:49:38,1,fedc20debletest0,null,-72.3,2,,1679622620000
105689,0926bde8,2023/03/24 09:48:56,1,fedc20debletest0,null,-60.666666666666664,1,,1679622620000
105692,0926bde8,2023/03/24 09:48:57,1,fedc20debletest0,null,-70.23076923076923,2,,1679622620000
105695,0926bde8,2023/03/24 09:49:39,1,fedc20debletest0,null,-71.53846153846153,2,,1679622620000
105696,0926bde8,2023/03/24 09:48:58,1,fedc20debletest0,null,-65.125,2,,1679622620000
105700,0926bde8,2023/03/24 09:48:59,1,fedc20debletest0,null,-64.66666666666667,1,,1679622620000
105703,0926bde8,2023/03/24 09:49:40,1,fedc20debletest0,null,-71.69565217391305,2,,1679622620000
105704,0926bde8,2023/03/24 09:49:00,1,fedc20debletest0,null,-61.714285714285715,1,,1679622620000
105708,0926bde8,2023/03/24 09:49:01,1,fedc20debletest0,null,-63.214285714285715,1,,1679622620000
105712,0926bde8,2023/03/24 09:49:02,1,fedc20debletest0,null,-69,2,,1679622620000
105715,0926bde8,2023/03/24 09:49:41,1,fedc20debletest0,null,-72.34615384615384,2,,1679622620000
105716,0926bde8,2023/03/24 09:49:03,1,fedc20debletest0,null,-75.11111111111111,2,,1679622620000
105719,0926bde8,2023/03/24 09:49:42,1,fedc20debletest0,null,-74.74285714285715,2,,1679622620000
105720,0926bde8,2023/03/24 09:49:04,1,fedc20debletest0,null,-79.64285714285714,3,,1679622620000
105724,0926bde8,2023/03/24 09:49:05,1,fedc20debletest0,null,-77.9,3,,1679622620000
105725,0926bde8,2023/03/24 09:49:43,1,fedc20debletest0,null,-75.36666666666666,2,,1679622620000
105728,0926bde8,2023/03/24 09:49:06,1,fedc20debletest0,null,-83,3,,1679622620000
105732,0926bde8,2023/03/24 09:49:07,1,fedc20debletest0,null,-80.71428571428571,3,,1679622620000
105733,0926bde8,2023/03/24 09:49:44,1,fedc20debletest0,null,-72.10714285714286,2,,1679622620000
105736,0926bde8,2023/03/24 09:49:08,1,fedc20debletest0,null,-78.18181818181819,3,,1679622620000
105740,0926bde8,2023/03/24 09:49:09,1,fedc20debletest0,null,-80.38461538461539,3,,1679622620000
105741,0926bde8,2023/03/24 09:49:45,1,fedc20debletest0,null,-72.3103448275862,2,,1679622620000
105744,0926bde8,2023/03/24 09:49:10,1,fedc20debletest0,null,-85.125,5,,1679622620000
105745,0926bde8,2023/03/24 09:49:46,1,fedc20debletest0,null,-71.39024390243902,2,,1679622620000
105747,0926bde8,2023/03/24 09:49:47,1,fedc20debletest0,null,-71.90243902439025,2,,1679622620000
105749,0926bde8,2023/03/24 09:49:48,1,fedc20debletest0,null,-71.1875,2,,1679622620000
105751,0926bde8,2023/03/24 09:49:49,1,fedc20debletest0,null,-69.6,2,,1679622620000
105891,0926bde8,2023/03/24 09:50:24,1,fedc20debletest0,null,-77.5,3,,1679622707000
105892,0926bde8,2023/03/24 09:50:25,1,fedc20debletest0,null,-80.2,3,,1679622707000
105893,0926bde8,2023/03/24 09:50:26,1,fedc20debletest0,null,-84.375,3,,1679622707000
105894,0926bde8,2023/03/24 09:51:04,1,fedc20debletest0,null,-84.5,3,,1679622707000
105895,0926bde8,2023/03/24 09:50:27,1,fedc20debletest0,null,-91.125,5,,1679622707000
105896,0926bde8,2023/03/24 09:50:28,1,fedc20debletest0,null,-90.41176470588235,5,,1679622707000
105898,0926bde8,2023/03/24 09:50:29,1,fedc20debletest0,null,-85.75,5,,1679622707000
105900,0926bde8,2023/03/24 09:50:30,1,fedc20debletest0,null,-90,5,,1679622707000
105901,0926bde8,2023/03/24 09:51:05,1,fedc20debletest0,null,-85.36363636363636,5,,1679622707000
105903,0926bde8,2023/03/24 09:50:31,1,fedc20debletest0,null,-88.5,5,,1679622707000
105906,0926bde8,2023/03/24 09:50:32,1,fedc20debletest0,null,-89.22222222222223,5,,1679622707000
105907,0926bde8,2023/03/24 09:51:06,1,fedc20debletest0,null,-93,5,,1679622707000
105909,0926bde8,2023/03/24 09:50:33,1,fedc20debletest0,null,-90.16666666666667,5,,1679622707000
105912,0926bde8,2023/03/24 09:50:34,1,fedc20debletest0,null,-90.77777777777777,5,,1679622707000
105913,0926bde8,2023/03/24 09:51:07,1,fedc20debletest0,null,-86.8,5,,1679622707000
105915,0926bde8,2023/03/24 09:50:35,1,fedc20debletest0,null,-88.11111111111111,5,,1679622707000
105916,0926bde8,2023/03/24 09:51:08,1,fedc20debletest0,null,-80.8,3,,1679622707000
105918,0926bde8,2023/03/24 09:50:36,1,fedc20debletest0,null,-89.75,5,,1679622707000
105921,0926bde8,2023/03/24 09:51:09,1,fedc20debletest0,null,-88.92307692307692,5,,1679622707000
105927,0926bde8,2023/03/24 09:51:10,1,fedc20debletest0,null,-80.13333333333334,3,,1679622707000
105930,0926bde8,2023/03/24 09:51:11,1,fedc20debletest0,null,-83.88888888888889,3,,1679622707000
105936,0926bde8,2023/03/24 09:51:12,1,fedc20debletest0,null,-80.66666666666667,3,,1679622707000
105942,0926bde8,2023/03/24 09:51:13,1,fedc20debletest0,null,-82.75,3,,1679622707000
105948,0926bde8,2023/03/24 09:51:14,1,fedc20debletest0,null,-87.0909090909091,5,,1679622707000
105952,0926bde8,2023/03/24 09:51:15,1,fedc20debletest0,null,-86.55555555555556,5,,1679622707000
105958,0926bde8,2023/03/24 09:51:16,1,fedc20debletest0,null,-82.625,3,,1679622707000
105964,0926bde8,2023/03/24 09:51:17,1,fedc20debletest0,null,-87.16666666666667,5,,1679622707000
105970,0926bde8,2023/03/24 09:51:18,1,fedc20debletest0,null,-90.57142857142857,5,,1679622707000
105976,0926bde8,2023/03/24 09:51:19,1,fedc20debletest0,null,-87.16666666666667,5,,1679622707000
105980,0926bde8,2023/03/24 09:51:20,1,fedc20debletest0,null,-89.23076923076923,5,,1679622707000
106181,0926bde8,2023/03/24 09:51:51,1,fedc20debletest0,null,-90.83333333333333,5,,1679622801000
106183,0926bde8,2023/03/24 09:52:36,1,fedc20debletest0,null,-99,5,,1679622801000
106193,0926bde8,2023/03/24 09:51:52,1,fedc20debletest0,null,-88.8,5,,1679622801000
106194,0926bde8,2023/03/24 09:52:37,1,fedc20debletest0,null,-93.36363636363636,5,,1679622801000
106196,0926bde8,2023/03/24 09:51:53,1,fedc20debletest0,null,-93,5,,1679622801000
106198,0926bde8,2023/03/24 09:52:38,1,fedc20debletest0,null,-92.85714285714286,5,,1679622801000
106202,0926bde8,2023/03/24 09:52:39,1,fedc20debletest0,null,-97.33333333333333,5,,1679622801000
106203,0926bde8,2023/03/24 09:51:54,1,fedc20debletest0,null,-91.55555555555556,5,,1679622801000
106207,0926bde8,2023/03/24 09:51:55,1,fedc20debletest0,null,-91.9090909090909,5,,1679622801000
106210,0926bde8,2023/03/24 09:52:40,1,fedc20debletest0,null,-96.9,5,,1679622801000
