id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
125380,dc32f1d2,2023/04/27 20:00:04,1,defe41ccbletest0,null,-80,3,,1682596892000
125381,dc32f1d2,2023/04/27 20:00:05,1,defe41ccbletest0,null,-83.54901960784314,3,,1682596892000
125382,dc32f1d2,2023/04/27 20:00:06,1,defe41ccbletest0,null,-85.98,5,,1682596892000
125383,dc32f1d2,2023/04/27 20:00:07,1,defe41ccbletest0,null,-86.6,5,,1682596892000
125384,dc32f1d2,2023/04/27 20:00:08,1,defe41ccbletest0,null,-83.81632653061224,3,,1682596892000
125385,dc32f1d2,2023/04/27 20:00:09,1,defe41ccbletest0,null,-79.90196078431373,3,,1682596892000
125386,dc32f1d2,2023/04/27 20:00:10,1,defe41ccbletest0,null,-77.90196078431373,3,,1682596892000
125387,dc32f1d2,2023/04/27 20:00:11,1,defe41ccbletest0,null,-81.25,3,,1682596892000
125388,dc32f1d2,2023/04/27 20:00:12,1,defe41ccbletest0,null,-76.125,3,,1682596892000
125389,dc32f1d2,2023/04/27 20:00:13,1,defe41ccbletest0,null,-83.71428571428571,3,,1682596892000
125390,dc32f1d2,2023/04/27 20:00:14,1,defe41ccbletest0,null,-85.6,5,,1682596892000
125391,dc32f1d2,2023/04/27 20:00:15,1,defe41ccbletest0,null,-72.66666666666667,2,,1682596892000
125392,dc32f1d2,2023/04/27 20:00:16,1,defe41ccbletest0,null,-81,3,,1682596892000
125393,dc32f1d2,2023/04/27 20:00:17,1,defe41ccbletest0,null,-81.57142857142857,3,,1682596892000
125394,dc32f1d2,2023/04/27 20:00:18,1,defe41ccbletest0,null,-76.71428571428571,3,,1682596892000
125462,dc32f1d2,2023/04/27 20:02:23,1,defe41ccbletest0,null,-71,2,,1682596989000
125464,dc32f1d2,2023/04/27 20:02:24,1,defe41ccbletest0,null,-71.33333333333333,2,,1682596989000
125465,dc32f1d2,2023/04/27 20:02:27,1,defe41ccbletest0,null,-72.72727272727273,2,,1682596989000
125466,dc32f1d2,2023/04/27 20:02:30,1,defe41ccbletest0,null,-80.85714285714286,3,,1682596989000
125467,dc32f1d2,2023/04/27 20:02:33,1,defe41ccbletest0,null,-74.7,2,,1682596989000
125468,dc32f1d2,2023/04/27 20:02:36,1,defe41ccbletest0,null,-72.4,2,,1682596989000
125469,dc32f1d2,2023/04/27 20:02:39,1,defe41ccbletest0,null,-76.25,3,,1682596989000
125470,dc32f1d2,2023/04/27 20:02:40,1,defe41ccbletest0,null,-95,5,,1682596989000
125471,dc32f1d2,2023/04/27 20:01:39,1,defe41ccbletest0,null,-81.3,3,,1682596989000
